,Ext1,Ext2,Ext3,Ext4,total,JointCap1,JointCap2,JointCap3,JointCap4,ExtCapPositive1,ExtCapNegative1,ExtCapPositive2,ExtCapNegative2,ExtCapPositive3,ExtCapNegative3,ExtCapPositive4,ExtCapNegative4,Joint1,Joint2,Joint3,Joint4,Joint1_Moment,Joint2_Moment,Joint3_Moment,Joint4_Moment,num_extensions
1701,5.0,7.0,1.5,7.0,20.5,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,10.86,27.26,50.23,55.15,306587.98,110008.51,10164.83,188853.97,4
1741,5.0,7.0,7.0,1.5,20.5,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,10.86,27.26,50.23,73.2,306587.98,110008.51,10164.83,232732.28,4
1743,5.0,10.0,1.0,5.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,25.62,58.43,61.72,282580.56,165392.67,268284.27,315957.94,4
1746,5.0,10.0,5.0,1.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,25.62,58.43,74.84,282580.56,165392.67,268284.27,189086.27,4
1749,5.0,10.0,3.0,3.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,25.62,58.43,68.28,282580.56,165392.67,268284.27,316035.37,4
1768,1.0,3.0,10.0,7.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,12.5,22.34,55.15,282580.56,322656.25,252343.52,188853.97,4
1780,3.0,3.0,10.0,5.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,19.06,28.91,61.72,282580.56,307537.73,46685.19,315957.94,4
1789,1.0,5.0,10.0,5.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,12.5,28.91,61.72,282580.56,322656.25,46685.19,315957.94,4
1791,3.0,10.0,1.0,7.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,19.06,51.87,55.15,282580.56,307537.73,77667.03,188853.97,4
1792,3.0,1.0,10.0,7.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,19.06,22.34,55.15,282580.56,307537.73,252343.52,188853.97,4
1796,3.0,10.0,5.0,3.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,19.06,51.87,68.28,282580.56,307537.73,77667.03,316035.37,4
1797,3.0,10.0,7.0,1.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,19.06,51.87,74.84,282580.56,307537.73,77667.03,189086.27,4
1804,3.0,10.0,3.0,5.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,19.06,51.87,61.72,282580.56,307537.73,77667.03,315957.94,4
1850,5.0,1.0,10.0,5.0,21.0,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0,9.22,25.62,28.91,61.72,282580.56,165392.67,46685.19,315957.94,4
